,show_id,userId,score
357,as132,89099.685,3.557
358,as1320,86759.493,3.487
359,as1321,88480.653,3.537
360,as1322,101079.061,3.55
361,as1323,89918.645,3.594
362,as1324,86404.766,3.471
363,as1325,84701.414,3.581
364,as1326,92004.626,3.528
365,as1327,84792.027,3.436
366,as1328,86997.381,3.545
367,as1329,86277.275,3.555
368,as133,96587.493,3.475
369,as1330,85159.19,3.477
370,as1331,90563.463,3.561
371,as1332,97261.002,3.514
372,as1333,86424.072,3.508
373,as1334,89726.382,3.509
374,as1335,95219.815,3.448
375,as1336,84347.741,3.573
376,as1337,90869.089,3.621
377,as1338,87546.357,3.42
378,as1339,94876.888,3.443
379,as134,84373.568,3.465
380,as1340,92867.32,3.585
381,as1341,87873.225,3.548
382,as1342,92622.222,3.522
383,as1343,89651.49,3.496
384,as1344,97577.804,3.53
385,as1345,87155.88,3.505
386,as1346,93762.827,3.584
387,as1347,85097.499,3.512
388,as1348,89791.175,3.612
389,as1349,93941.04,3.536
390,as135,90685.163,3.463
391,as1350,94271.194,3.478
392,as1351,84581.846,3.6
393,as1352,88751.42,3.615
394,as1353,88325.17,3.611
395,as1354,87730.248,3.554
396,as1355,85600.879,3.553
397,as1356,88975.23,3.495
398,as1357,90579.022,3.513
399,as1358,90649.675,3.558
400,as1359,100166.587,3.555
401,as136,85912.113,3.542
402,as1360,91322.695,3.623
403,as1361,91839.596,3.438
404,as1362,93572.227,3.525
405,as1363,88478.526,3.561
406,as1364,88446.931,3.514
407,as1365,91428.655,3.525
408,as1366,94133.405,3.519
409,as1367,90883.462,3.569
410,as1368,94316.314,3.606
411,as1369,86707.685,3.508
412,as137,89121.096,3.562
413,as1370,95763.989,3.57
414,as1371,93060.582,3.535
415,as1372,85387.808,3.569
416,as1373,90617.106,3.48
417,as1374,88548.675,3.592
418,as1375,89688.57,3.594
419,as1376,93037.908,3.533
420,as1377,83336.836,3.498
421,as1378,90117.188,3.501
422,as1379,90711.63,3.501
423,as138,86949.346,3.426
424,as1380,90809.497,3.497
425,as1381,88031.673,3.519
426,as1382,89007.461,3.559
427,as1383,87850.816,3.5
428,as1384,85703.34,3.524
429,as1385,88984.595,3.596
430,as1386,89663.674,3.532
431,as1387,90199.301,3.518
432,as1388,87620.346,3.65
433,as1389,82223.627,3.582
434,as139,87698.251,3.66
435,as1390,94445.423,3.579
436,as1391,93178.221,3.477
437,as1392,95947.207,3.517
438,as1393,89051.437,3.495
439,as1394,93826.018,3.566
440,as1395,80703.358,3.581
441,as1396,81246.789,3.53
442,as1397,95099.207,3.517
443,as1398,89625.25,3.597
444,as1399,99323.437,3.585
445,as14,83763.26,3.57
446,as140,84560.391,3.674
447,as1400,81417.951,3.46
448,as1401,92257.502,3.503
449,as1402,87683.827,3.563
450,as1403,83952.449,3.615
451,as1404,99570.908,3.509
452,as1405,88897.277,3.541
453,as1406,95832.088,3.503
454,as1407,87239.346,3.503
455,as1408,93049.674,3.473
456,as1409,97282.172,3.449
457,as141,98858.698,3.517
458,as1410,91065.151,3.474
459,as1411,90947.245,3.547
460,as1412,90960.324,3.491
461,as1413,90746.011,3.491
462,as1414,89526.757,3.547
463,as1415,88685.067,3.512
464,as1416,87253.004,3.531
465,as1417,87955.011,3.558
466,as1418,92748.236,3.524
467,as1419,87543.454,3.559
468,as142,88542.168,3.492
469,as1420,90304.897,3.466
470,as1421,91472.228,3.538
471,as1422,89306.308,3.582
472,as1423,89621.054,3.496
473,as1424,90243.184,3.511
474,as1425,90837.111,3.572
475,as1426,92240.926,3.522
476,as1427,92851.631,3.523
477,as1428,81062.071,3.579
478,as1429,90538.117,3.53
479,as143,92734.485,3.567
480,as1430,90680.498,3.5
481,as1431,86664.868,3.533
482,as1432,85228.656,3.507
483,as1433,87493.11,3.569
484,as1434,90844.027,3.496
485,as1435,88247.404,3.542
486,as1436,93207.618,3.48
487,as1437,86724.344,3.517
488,as1438,85390.599,3.552
489,as1439,95395.369,3.492
490,as144,87730.168,3.533
491,as1440,94242.784,3.468
492,as1441,85775.722,3.672
493,as1442,92430.868,3.496
494,as1443,91790.193,3.554
495,as1444,86539.291,3.563
496,as1445,85132.111,3.508
497,as1446,94402.909,3.518
498,as1447,85132.751,3.58
499,as1448,90116.069,3.519
500,as1449,81811.174,3.424
501,as145,89367.078,3.561
502,as1450,86973.177,3.551
503,as1451,89104.019,3.587
504,as1452,94419.5,3.497
505,as1453,90199.764,3.394
506,as1454,93502.538,3.489
507,as1455,89344.549,3.566
508,as1456,88338.738,3.538
509,as1457,96261.38,3.608
510,as1458,90880.291,3.548
511,as1459,86224.035,3.497
512,as146,92606.608,3.519
513,as1460,90164.92,3.574
514,as1461,88566.923,3.518
515,as1462,88724.764,3.476
516,as1463,87192.662,3.536
517,as1464,86343.306,3.589
518,as1465,84052.371,3.578
519,as1466,92024.322,3.588
520,as1467,87957.905,3.558
521,as1468,93966.28,3.534
522,as1469,92767.541,3.553
523,as147,96793.062,3.551
524,as1470,88754.438,3.518
525,as1471,89097.509,3.592
526,as1472,92863.911,3.533
527,as1473,88052.583,3.514
528,as1474,85338.934,3.531
529,as1475,91878.598,3.548
530,as1476,80154.906,3.572
531,as1477,87580.506,3.566
532,as1478,87643.927,3.529
533,as1479,88785.232,3.468
534,as148,88504.755,3.546
535,as1480,94701.815,3.551
536,as1481,91867.058,3.475
537,as1482,87470.873,3.519
538,as1483,88104.349,3.555
539,as1484,97637.143,3.591
540,as1485,92444.081,3.547
541,as1486,85404.676,3.604
542,as1487,84335.311,3.388
543,as1488,91364.998,3.539
544,as1489,97853.875,3.548
545,as149,88876.743,3.528
546,as1490,94545.855,3.451
547,as1491,90114.167,3.514
548,as1492,87560.674,3.537
549,as1493,88027.305,3.503
550,as1494,88413.451,3.466
551,as1495,90637.252,3.563
552,as1496,89945.232,3.496
553,as1497,93118.325,3.596
554,as1498,90296.99,3.477
555,as1499,92701.522,3.559
556,as15,84921.498,3.523
557,as150,88170.874,3.565
558,as1500,94703.699,3.52
559,as1501,92031.748,3.512
560,as1502,92975.484,3.524
561,as1503,88352.627,3.571
562,as1504,92318.919,3.476
563,as1505,94052.389,3.519
564,as1506,95274.216,3.567
565,as1507,94333.998,3.585
566,as1508,88549.818,3.529
567,as1509,89376.01,3.503
568,as151,87180.833,3.525
569,as1510,85785.502,3.515
570,as1511,94035.647,3.524
571,as1512,91982.093,3.557
572,as1513,89954.143,3.577
573,as1514,87910.564,3.509
574,as1515,94021.408,3.502
575,as1516,90726.541,3.495
576,as1517,93925.638,3.553
577,as1518,85209.04,3.564
578,as1519,90935.846,3.47
579,as152,88917.71,3.597
580,as1520,89209.249,3.595
581,as1521,89368.84,3.548
582,as1522,82842.38,3.464
583,as1523,93787.005,3.573
584,as1524,93763.72,3.573
585,as1525,84802.387,3.573
586,as1526,87196.787,3.465
587,as1527,93115.678,3.523
588,as1528,92525.51,3.569
589,as1529,91975.057,3.52
590,as153,90999.43,3.526
591,as1530,91675.135,3.549
592,as1531,89562.094,3.575
593,as1532,88298.732,3.596
594,as1533,87139.754,3.513
595,as1534,88606.356,3.493
596,as1535,87903.791,3.531
597,as1536,91803.228,3.537
598,as1537,88602.286,3.581
599,as1538,93016.255,3.481
600,as1539,80309.481,3.497
601,as154,92776.657,3.479
602,as1540,87256.785,3.465
603,as1541,84329.391,3.538
604,as1542,80481.043,3.493
605,as1543,92149.986,3.519
606,as1544,92067.298,3.505
607,as1545,86472.406,3.528
608,as1546,85404.743,3.566
609,as1547,97023.728,3.512
610,as1548,88267.792,3.54
611,as1549,91206.233,3.466
612,as155,90757.491,3.494
613,as1550,95440.934,3.486
614,as1551,88589.861,3.554
615,as1552,91292.305,3.558
616,as1553,88308.662,3.632
617,as1554,90891.893,3.493
618,as1555,89023.754,3.62
619,as1556,86710.427,3.518
620,as1557,85947.632,3.562
621,as1558,86541.427,3.534
622,as1559,92342.926,3.522
623,as156,89677.948,3.581
624,as1560,96088.708,3.539
625,as1561,89545.073,3.513
626,as1562,93085.831,3.478
627,as1563,84738.488,3.542
628,as1564,90278.18,3.514
629,as1565,85224.102,3.483
630,as1566,86333.197,3.522
631,as1567,89566.87,3.496
632,as1568,81368.506,3.449
633,as1569,89839.405,3.509
634,as157,91888.364,3.5
635,as1570,89519.491,3.58
636,as1571,88797.33,3.532
637,as1572,92176.219,3.613
638,as1573,97332.054,3.566
639,as1574,89996.085,3.529
640,as1575,82166.199,3.512
641,as1576,86592.417,3.568
642,as1577,94730.984,3.589
643,as1578,95687.0,3.533
644,as1579,85194.475,3.6
645,as158,88056.017,3.506
646,as1580,97219.769,3.585
647,as1581,86093.915,3.518
648,as1582,93250.998,3.557
649,as1583,95648.235,3.551
650,as1584,88460.067,3.554
651,as1585,82941.173,3.534
652,as1586,93044.531,3.477
653,as1587,94013.225,3.535
654,as1588,93290.415,3.546
655,as1589,91655.416,3.48
656,as159,91600.289,3.534
657,as1590,92782.216,3.481
658,as1591,93353.419,3.531
659,as1592,93229.859,3.544
660,as1593,91224.232,3.559
661,as1594,96021.247,3.568
662,as1595,94633.663,3.53
663,as1596,94022.313,3.608
664,as1597,99433.034,3.564
665,as1598,83994.301,3.546
666,as1599,90877.609,3.476
667,as16,90568.414,3.53
668,as160,86202.398,3.563
669,as1600,90689.703,3.531
670,as1601,81626.35,3.594
671,as1602,87507.989,3.542
672,as1603,91448.566,3.482
673,as1604,91628.857,3.594
674,as1605,90978.596,3.575
675,as1606,89274.784,3.467
676,as1607,96478.184,3.59
677,as1608,88303.961,3.526
678,as1609,91437.144,3.485
679,as161,89836.393,3.546
680,as1610,97914.106,3.503
681,as1611,90073.285,3.455
682,as1612,91232.062,3.525
683,as1613,89695.978,3.537
684,as1614,89550.905,3.534
685,as1615,96544.913,3.602
686,as1616,90499.491,3.518
687,as1617,87233.724,3.594
688,as1618,87752.958,3.622
689,as1619,87080.208,3.557
690,as162,91141.014,3.548
691,as1620,88250.281,3.501
692,as1621,91483.301,3.616
693,as1622,85563.4,3.445
694,as1623,92979.873,3.526
695,as1624,90219.115,3.536
696,as1625,84252.026,3.505
697,as1626,86443.635,3.45
698,as1627,88993.951,3.555
699,as1628,93723.13,3.46
700,as1629,93510.634,3.515
701,as163,84182.181,3.421
702,as1630,96713.765,3.556
703,as1631,88128.241,3.515
704,as1632,88013.221,3.533
705,as1633,86268.614,3.542
706,as1634,91746.633,3.52
707,as1635,85559.328,3.48
708,as1636,86863.912,3.44
709,as1637,90338.016,3.686
710,as1638,88436.128,3.479
711,as1639,91496.72,3.541
712,as164,84693.379,3.471
713,as1640,90032.646,3.562
714,as1641,86357.114,3.524
715,as1642,84386.732,3.449
716,as1643,92133.078,3.527
717,as1644,94484.87,3.472
718,as1645,92565.224,3.548
719,as1646,87511.275,3.594
720,as1647,94216.382,3.699
721,as1648,92132.72,3.555
722,as1649,86145.183,3.529
723,as165,96597.677,3.472
724,as1650,84310.228,3.496
725,as1651,93347.454,3.53
726,as1652,92873.126,3.544
727,as1653,99449.533,3.48
728,as1654,94978.235,3.482
729,as1655,90852.91,3.552
730,as1656,96992.353,3.521
731,as1657,87376.682,3.545
732,as1658,91420.511,3.53
733,as1659,90126.84,3.563
734,as166,85363.454,3.59
735,as1660,87469.852,3.623
736,as1661,93478.314,3.595
737,as1662,95861.497,3.469
738,as1663,88476.931,3.508
739,as1664,86668.984,3.611
740,as1665,91313.493,3.479
741,as1666,86590.677,3.503
742,as1667,85358.333,3.574
743,as1668,96482.624,3.427
744,as1669,80101.1,3.541
745,as167,92458.709,3.484
746,as1670,93257.381,3.591
747,as1671,89404.506,3.494
748,as1672,87018.704,3.6
749,as1673,88518.073,3.638
750,as1674,90038.032,3.503
751,as1675,88200.946,3.565
752,as1676,95777.414,3.514
753,as1677,95778.818,3.438
754,as1678,92268.345,3.528
755,as1679,92043.831,3.622
756,as168,88157.824,3.466
757,as1680,92886.648,3.594
758,as1681,93341.981,3.498
759,as1682,88521.891,3.593
760,as1683,92627.945,3.523
761,as1684,95767.642,3.523
762,as1685,90421.233,3.521
763,as1686,88895.165,3.571
764,as1687,92694.554,3.566
765,as1688,92835.104,3.562
766,as1689,93551.406,3.475
767,as169,91234.847,3.499
768,as1690,88708.951,3.578
769,as1691,91674.045,3.54
770,as1692,86001.656,3.573
771,as1693,96627.686,3.517
772,as1694,90369.074,3.559
773,as1695,97430.657,3.591
774,as1696,86339.943,3.458
775,as1697,90118.818,3.564
776,as1698,95535.197,3.576
777,as1699,88845.712,3.5
778,as17,89771.496,3.499
779,as170,92925.87,3.586
780,as1700,86586.099,3.562
781,as1701,88597.319,3.592
782,as1702,85828.591,3.511
783,as1703,92784.786,3.597
784,as1704,95245.221,3.535
785,as1705,91059.992,3.516
786,as1706,87748.968,3.471
787,as1707,88852.533,3.524
788,as1708,90331.794,3.51
789,as1709,82829.759,3.545
790,as171,93184.673,3.487
791,as1710,85815.574,3.569
792,as1711,90188.652,3.501
793,as1712,89138.187,3.578
794,as1713,88281.675,3.58
795,as1714,86143.587,3.516
796,as1715,93328.46,3.513
797,as1716,84695.851,3.479
798,as1717,95819.649,3.516
799,as1718,84587.396,3.529
800,as1719,91140.686,3.525
801,as172,92115.476,3.528
802,as1720,91987.4,3.484
803,as1721,87922.888,3.645
804,as1722,83900.591,3.537
805,as1723,93704.866,3.454
806,as1724,93085.208,3.578
807,as1725,88649.075,3.598
808,as1726,96647.778,3.567
809,as1727,82261.771,3.603
810,as1728,90133.093,3.492
811,as1729,89011.212,3.508
812,as173,87038.835,3.544
813,as1730,88875.249,3.578
814,as1731,91872.427,3.486
815,as1732,94939.76,3.543
816,as1733,87923.039,3.538
817,as1734,87820.91,3.55
818,as1735,85571.9,3.626
819,as1736,89021.191,3.53
820,as1737,80651.62,3.572
821,as1738,86925.058,3.48
822,as1739,92759.978,3.514
823,as174,83290.371,3.498
824,as1740,85503.078,3.535
825,as1741,80481.285,3.602
826,as1742,82480.329,3.567
827,as1743,97997.766,3.544
828,as1744,90785.263,3.605
829,as1745,84497.153,3.494
830,as1746,92421.824,3.543
831,as1747,93850.428,3.554
832,as1748,94596.87,3.542
833,as1749,98450.05,3.536
834,as175,89784.377,3.559
835,as1750,82353.262,3.465
836,as1751,82743.655,3.508
837,as1752,90228.04,3.452
838,as1753,96762.635,3.569
839,as1754,86210.109,3.541
840,as1755,86271.99,3.483
841,as1756,95875.37,3.566
842,as1757,84380.563,3.484
843,as1758,90431.871,3.536
844,as1759,92584.268,3.561
845,as176,92322.245,3.522
846,as1760,87519.825,3.495
847,as1761,95249.925,3.583
848,as1762,92732.244,3.514
849,as1763,91409.063,3.556
850,as1764,95974.121,3.597
851,as1765,95158.828,3.476
852,as1766,90931.051,3.518
853,as1767,91948.841,3.576
854,as1768,89063.295,3.55
855,as1769,95771.173,3.547
856,as177,92466.689,3.521
857,as1770,80340.492,3.499
858,as1771,85297.647,3.552
859,as1772,86958.789,3.497
860,as1773,89278.548,3.561
861,as1774,84256.275,3.475
862,as1775,87822.236,3.554
863,as1776,90937.002,3.554
864,as1777,92414.924,3.499
865,as1778,83753.388,3.552
866,as1779,88095.328,3.511
867,as178,91023.288,3.555
868,as1780,89594.395,3.593
869,as1781,93518.431,3.516
870,as1782,96043.971,3.555
871,as1783,96543.072,3.523
872,as1784,99090.698,3.525
873,as1785,94674.232,3.453
874,as1786,93240.399,3.567
875,as1787,83880.546,3.491
876,as1788,86134.676,3.545
877,as1789,81537.73,3.483
878,as179,83873.572,3.566
879,as1790,92468.841,3.478
880,as1791,88009.435,3.485
881,as1792,89236.362,3.469
882,as1793,91367.014,3.581
883,as1794,90464.22,3.575
884,as1795,87923.706,3.607
885,as1796,92638.374,3.553
886,as1797,93501.204,3.546
887,as1798,90698.48,3.481
888,as1799,91850.741,3.495
889,as18,91992.027,3.565
890,as180,94059.459,3.623
891,as1800,87810.961,3.595
892,as1801,90798.78,3.536
893,as1802,84640.058,3.608
894,as1803,86107.871,3.525
895,as1804,87927.408,3.548
896,as1805,97800.739,3.507
897,as1806,87814.451,3.555
898,as1807,90615.203,3.575
899,as1808,90926.948,3.487
900,as1809,83890.571,3.556
901,as181,89345.314,3.624
902,as1810,87915.468,3.584
903,as1811,93224.388,3.457
904,as1812,87239.81,3.552
905,as1813,99655.91,3.49
906,as1814,88489.949,3.54
907,as1815,86772.829,3.47
908,as1816,87442.638,3.481
909,as1817,98649.827,3.48
910,as1818,86006.339,3.48
911,as1819,89101.096,3.544
912,as182,91087.747,3.48
913,as1820,92747.027,3.451
914,as1821,94812.68,3.473
915,as1822,94581.166,3.555
916,as1823,91115.443,3.47
917,as1824,89674.942,3.507
918,as1825,85853.13,3.568
919,as1826,92256.147,3.575
920,as1827,87922.909,3.523
921,as1828,92482.166,3.553
922,as1829,85247.811,3.471
923,as183,94057.645,3.518
924,as1830,84117.986,3.524
925,as1831,90893.033,3.621
926,as1832,86903.063,3.529
927,as1833,84457.491,3.552
928,as1834,90358.43,3.561
929,as1835,88668.239,3.528
930,as1836,78371.434,3.496
931,as1837,88104.789,3.479
932,as1838,91969.478,3.511
933,as1839,87699.601,3.601
934,as184,87184.096,3.475
935,as1840,85780.684,3.527
936,as1841,86205.746,3.418
937,as1842,94661.62,3.573
